date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:53	2162/2162	---M-Z	200	added ('OK')	text/xml	date:Tue,%2029%20Oct%202024%2018:10:54%20GMT	https://www.peintre47.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.peintre47.fr%2F&format=xml	./website_downloaded/www.peintre47.fr/wp-json/oembed/1.0/embed23d0	(from https://www.peintre47.fr/)
19:10:54	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2029%20Oct%202024%2018:10:54%20GMT	https://www.peintre47.fr/xmlrpc.php	./website_downloaded/www.peintre47.fr/xmlrpc.php	(from https://www.peintre47.fr/)
19:10:54	11289/11289	---M--	200	added ('OK')	image/jpeg	etag:%222c19-6658c1f2-e2bf7b77a6738b1d;;;%22	https://www.peintre47.fr/wp-content/uploads/2022/11/favicon-artisan-peintre-marmande-agen.jpg	./website_downloaded/www.peintre47.fr/wp-content/uploads/2022/11/favicon-artisan-peintre-marmande-agen.jpg	(from https://www.peintre47.fr/)
19:10:54	39220/39220	---M--	200	added ('OK')	font/woff2	etag:%229934-6658c1f4-db3bd4072df363e6;;;%22	https://www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff2	./website_downloaded/www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff2	(from https://www.peintre47.fr/)
19:10:54	47984/47984	---M--	200	added ('OK')	application/font-woff	etag:%22bb70-6658c1f4-505262fd43124f89;;;%22	https://www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff	./website_downloaded/www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff	(from https://www.peintre47.fr/)
19:10:54	77416/77416	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2212e68-6658c1f4-861516bbe69eaa45;gz%22	https://www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.ttf	./website_downloaded/www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.ttf	(from https://www.peintre47.fr/)
19:10:54	113449/113449	---M-Z	200	added ('OK')	image/svg+xml	etag:%221bb29-6658c1f4-d82dc038eadedefe;gz%22	https://www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.svg	./website_downloaded/www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.svg	(from https://www.peintre47.fr/)
19:10:55	77584/77584	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212f10-6658c1f4-898c0e9891bc7185;gz%22	https://www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot	./website_downloaded/www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot	(from https://www.peintre47.fr/)
19:10:55	77584/77584	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212f10-6658c1f4-898c0e9891bc7185;gz%22	https://www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot?	./website_downloaded/www.peintre47.fr/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontellod41d.eot	(from https://www.peintre47.fr/)
19:10:55	37832/37832	---M--	200	added ('OK')	image/jpeg	etag:%2293c8-6658c1f2-edfafaf3a291859c;;;%22	https://www.peintre47.fr/wp-content/uploads/2022/11/artisan-peintre-marmande-agen-2.jpg	./website_downloaded/www.peintre47.fr/wp-content/uploads/2022/11/artisan-peintre-marmande-agen-2.jpg	(from https://www.peintre47.fr/)
19:10:55	59888/59888	---M--	200	added ('OK')	image/jpeg	etag:%22e9f0-6658c1f2-3ca7cf2ea76f847;;;%22	https://www.peintre47.fr/wp-content/uploads/2022/11/artisan-peintre-timy_oriez.jpg	./website_downloaded/www.peintre47.fr/wp-content/uploads/2022/11/artisan-peintre-timy_oriez.jpg	(from https://www.peintre47.fr/)
19:10:55	94036/94036	---M--	200	added ('OK')	image/jpeg	etag:%2216f54-6658c1f2-1ae2b86541ad24cc;;;%22	https://www.peintre47.fr/wp-content/uploads/2022/11/artisan-peintre-timy-oriez.jpg	./website_downloaded/www.peintre47.fr/wp-content/uploads/2022/11/artisan-peintre-timy-oriez.jpg	(from https://www.peintre47.fr/)
19:10:56	63666/63666	---M--	200	added ('OK')	image/jpeg	etag:%22f8b2-6658c1f2-8e8f9cea324e8f9d;;;%22	https://www.peintre47.fr/wp-content/uploads/2022/11/peintre-marmande-47-lot-garonne-slide4.jpg	./website_downloaded/www.peintre47.fr/wp-content/uploads/2022/11/peintre-marmande-47-lot-garonne-slide4.jpg	(from https://www.peintre47.fr/)
19:10:56	119516/119516	---M--	200	added ('OK')	image/webp	etag:%221d2dc-66596f87-43f9a68364f2d97b;;;%22	https://www.peintre47.fr/wp-content/uploads/2024/05/entreprise-peinture-tonneins.webp	./website_downloaded/www.peintre47.fr/wp-content/uploads/2024/05/entreprise-peinture-tonneins.webp	(from https://www.peintre47.fr/)
19:10:56	416/416	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a0-66a3e74a-2ab657ca79c0ed49;gz%22	https://www.peintre47.fr/wp-content/plugins/gravityforms/images/spinner.svg	./website_downloaded/www.peintre47.fr/wp-content/plugins/gravityforms/images/spinner.svg	(from https://www.peintre47.fr/)
